iter	Passed	Remaining
0	56	56586
1	57	28445
2	57	19062
3	57	14373
4	58	11573
5	58	9693
6	59	8374
7	59	7379
8	59	6603
9	60	6010
10	61	5495
11	61	5067
12	61	4705
13	62	4399
14	63	4146
15	63	3909
16	64	3700
17	64	3516
18	64	3347
19	65	3192
20	65	3053
21	65	2929
22	66	2811
23	66	2708
24	66	2609
25	67	2519
26	67	2443
27	68	2362
28	68	2288
29	68	2222
30	69	2163
31	69	2104
32	69	2047
33	70	1998
34	70	1950
35	71	1905
36	71	1863
37	71	1822
38	72	1781
39	72	1744
40	73	1710
41	73	1676
42	73	1644
43	74	1618
44	75	1592
45	75	1565
46	75	1538
47	76	1512
48	76	1487
49	77	1477
50	78	1454
51	78	1431
52	78	1408
53	79	1387
54	79	1366
55	79	1347
56	80	1329
57	80	1311
58	81	1293
59	81	1276
60	81	1258
61	82	1241
62	82	1226
63	82	1212
64	83	1199
65	83	1183
66	83	1168
67	84	1155
68	84	1143
69	85	1130
70	85	1118
71	85	1106
72	86	1095
73	86	1084
74	87	1073
75	87	1063
76	87	1052
77	88	1042
78	88	1031
79	88	1022
80	89	1012
81	89	1004
82	89	992
83	90	983
84	91	981
85	91	973
86	91	964
87	92	955
88	92	949
89	93	942
90	93	936
91	94	929
92	94	922
93	95	916
94	95	908
95	95	902
96	96	894
97	96	887
98	96	881
99	97	876
100	97	871
101	98	864
102	98	857
103	98	851
104	99	845
105	99	840
106	99	834
107	100	827
108	100	822
109	100	816
110	101	810
111	101	805
112	101	800
113	102	794
114	102	789
115	103	785
116	103	779
117	103	774
118	104	770
119	104	767
120	105	763
121	105	757
122	105	755
123	106	752
124	107	750
125	107	746
126	107	740
127	108	737
128	108	733
129	108	728
130	109	723
131	109	719
132	109	715
133	110	711
134	110	707
135	110	704
136	111	701
137	111	698
138	112	695
139	112	692
140	113	689
141	113	685
142	113	681
143	114	678
144	114	674
145	114	671
146	115	668
147	115	665
148	115	662
149	116	659
150	116	655
151	117	653
152	117	650
153	117	647
154	118	643
155	118	640
156	118	637
157	118	634
158	119	630
159	119	627
160	119	623
161	120	621
162	120	618
163	121	619
164	122	617
165	122	616
166	123	613
167	123	611
168	123	608
169	124	605
170	124	603
171	124	601
172	125	598
173	125	596
174	126	594
175	126	592
176	127	590
177	127	588
178	127	586
179	128	584
180	128	582
181	129	580
182	129	578
183	130	577
184	130	575
185	130	572
186	131	570
187	131	569
188	132	567
189	132	564
190	132	562
191	133	561
192	133	559
193	134	558
194	134	556
195	135	554
196	135	552
197	135	550
198	137	551
199	137	550
200	138	549
201	138	547
202	139	545
203	139	544
204	139	542
205	140	540
206	140	539
207	141	538
208	141	536
209	142	534
210	142	533
211	143	532
212	143	530
213	143	528
214	144	527
215	144	525
216	145	523
217	145	521
218	145	520
219	146	518
220	146	517
221	147	515
222	147	514
223	148	513
224	148	511
225	149	510
226	149	508
227	149	506
228	150	505
229	150	504
230	151	505
231	152	504
232	153	504
233	153	502
234	154	501
235	154	500
236	154	498
237	155	497
238	156	496
239	156	495
240	157	494
241	157	492
242	157	491
243	158	489
244	158	488
245	158	487
246	159	486
247	159	484
248	160	483
249	160	482
250	161	481
251	161	479
252	162	478
253	162	477
254	163	476
255	163	475
256	164	474
257	164	472
258	164	471
259	165	470
260	165	469
261	166	469
262	167	468
263	167	467
264	168	466
265	168	465
266	168	463
267	169	462
268	169	461
269	170	459
270	170	458
271	170	457
272	171	456
273	171	454
274	171	453
275	172	452
276	172	450
277	172	449
278	173	447
279	173	446
280	173	444
281	174	443
282	174	441
283	174	440
284	175	439
285	175	437
286	175	436
287	176	435
288	176	433
289	176	432
290	177	431
291	177	430
292	177	429
293	178	428
294	178	427
295	179	426
296	179	424
297	179	423
298	180	422
299	180	420
300	182	422
301	182	422
302	183	421
303	183	420
304	183	418
305	184	418
306	184	417
307	185	416
308	185	415
309	185	413
310	186	412
311	186	411
312	186	410
313	187	408
314	187	407
315	187	406
316	188	405
