iter	Passed	Remaining
0	57	57019
1	57	28681
2	57	19200
3	58	14475
4	58	11629
5	58	9722
6	58	8360
7	59	7345
8	59	6550
9	59	5916
10	60	5394
11	60	4959
12	60	4593
13	60	4286
14	61	4013
15	61	3774
16	61	3568
17	61	3381
18	62	3213
19	62	3062
20	62	2926
21	63	2804
22	63	2690
23	63	2586
24	63	2491
25	64	2402
26	64	2320
27	64	2243
28	64	2173
29	65	2107
30	65	2046
31	65	1988
32	66	1936
33	66	1885
34	66	1836
35	66	1790
36	67	1747
37	67	1706
38	67	1667
39	67	1631
40	68	1597
41	68	1562
42	68	1532
43	69	1502
44	69	1472
45	69	1445
46	69	1419
47	70	1393
48	70	1368
49	70	1345
50	71	1322
51	71	1300
52	71	1279
53	71	1259
54	72	1240
55	72	1222
56	72	1204
57	73	1186
58	73	1169
59	73	1152
60	73	1136
61	74	1120
62	74	1106
63	74	1092
64	75	1079
65	75	1066
66	75	1053
67	75	1039
68	76	1027
69	76	1014
70	76	1003
71	77	993
72	77	982
73	77	971
74	77	961
75	78	951
76	78	940
77	78	931
78	79	921
79	79	912
80	79	903
81	79	895
82	80	886
83	80	878
84	80	870
85	81	862
86	81	854
87	81	846
88	81	837
89	82	829
90	82	822
91	82	815
92	82	808
93	83	802
94	83	795
95	83	788
96	83	781
97	84	773
98	84	767
99	84	761
100	84	755
101	85	750
102	85	745
103	85	739
104	86	733
105	86	727
106	86	722
107	86	718
108	87	712
109	87	707
110	87	702
111	88	698
112	88	694
113	88	689
114	88	684
115	89	679
116	89	674
117	89	670
118	89	665
119	90	661
120	90	656
121	90	652
122	90	648
123	91	644
124	91	640
125	91	636
126	92	632
127	92	628
128	92	624
129	92	620
130	92	616
131	93	612
132	93	609
133	93	605
134	94	602
135	94	599
136	94	596
137	95	593
138	95	590
139	95	586
140	95	583
141	96	580
142	96	577
143	96	574
144	97	572
145	97	568
146	97	566
147	97	563
148	98	560
149	98	558
150	98	555
151	99	553
152	99	550
153	99	548
154	100	545
155	100	543
156	100	540
157	101	538
158	101	536
159	101	534
160	102	531
161	102	529
162	102	527
163	103	525
164	103	523
165	103	521
166	104	519
167	104	516
168	104	514
169	104	512
170	105	510
171	105	507
172	105	504
173	105	502
174	106	500
175	106	498
176	106	496
177	107	494
178	107	492
179	107	490
180	108	489
181	108	486
182	108	484
183	108	482
184	109	480
185	109	478
186	109	477
187	110	475
188	110	473
189	110	472
190	111	470
191	111	468
192	111	466
193	111	464
194	112	463
195	112	461
196	112	459
197	113	458
198	113	456
199	113	455
200	114	453
201	114	451
202	114	450
203	114	448
204	115	447
205	115	445
206	115	443
207	116	441
208	116	440
209	116	438
210	116	437
211	117	436
212	117	434
213	117	433
214	118	431
215	118	430
216	118	429
217	119	427
218	119	425
219	119	424
220	119	422
221	120	421
222	120	420
223	120	418
224	121	417
225	121	416
226	121	414
227	122	413
228	122	411
229	122	410
230	122	408
231	123	407
232	123	406
233	123	405
234	124	404
235	124	402
236	124	401
237	125	400
238	125	398
239	125	397
240	125	396
241	126	395
242	126	393
243	126	392
244	127	391
245	127	390
246	127	389
247	127	387
248	128	386
249	128	385
250	128	384
251	129	383
252	129	381
253	129	380
254	129	379
255	129	377
256	130	376
257	130	375
258	130	374
259	131	373
260	131	372
261	131	371
262	132	370
263	132	368
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	134	363
270	134	362
271	134	361
272	135	359
273	135	358
274	135	357
275	136	356
276	136	355
277	136	354
278	136	353
279	137	354
280	138	353
281	138	352
282	138	351
283	139	350
284	139	349
285	139	348
286	140	347
287	140	346
288	140	346
289	141	345
290	141	344
291	141	343
292	141	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	337
298	143	337
299	144	336
300	144	335
301	144	334
302	145	333
303	145	332
304	145	332
305	146	331
306	146	330
307	146	329
308	146	328
309	147	327
310	147	326
311	147	326
312	148	325
313	148	324
314	149	324
315	149	323
316	149	322
317	150	321
318	150	321
319	150	320
320	151	319
321	151	318
322	151	317
323	151	316
324	152	316
325	152	315
326	152	314
327	153	313
328	153	313
329	153	312
330	154	311
331	154	310
332	154	310
333	155	309
334	155	308
335	155	307
336	156	307
337	156	306
338	156	305
339	156	304
340	157	303
341	157	303
342	157	302
343	158	301
344	158	300
345	158	300
346	159	299
347	159	298
348	159	297
349	159	297
350	160	296
351	160	295
352	160	294
353	161	294
354	161	293
355	161	292
356	162	292
357	162	291
358	162	290
359	163	290
360	163	289
361	163	288
362	164	288
363	164	287
364	164	286
365	165	286
366	165	285
367	165	284
368	166	284
369	166	283
370	166	282
371	167	282
372	167	281
373	167	280
374	168	280
375	168	279
376	168	278
377	168	277
378	169	277
379	169	276
380	169	275
381	170	275
382	170	274
383	170	273
384	171	273
385	171	272
386	171	271
387	171	270
388	172	270
389	172	269
390	172	268
391	172	268
392	173	267
393	173	266
394	173	266
395	173	265
396	174	264
397	174	264
398	174	263
399	175	262
400	175	262
401	175	261
402	176	260
403	176	260
404	176	259
405	177	259
406	177	258
407	177	258
408	178	257
409	178	256
410	178	256
411	178	255
412	179	254
413	179	254
414	179	253
415	180	252
416	180	252
417	180	251
418	181	250
419	181	250
420	181	249
421	181	249
422	182	248
423	182	247
424	182	247
425	182	246
426	183	245
427	183	245
428	183	244
429	183	243
430	184	243
431	184	242
432	184	241
433	184	241
434	185	240
435	185	239
436	185	239
437	185	238
438	186	237
439	186	237
440	187	237
441	187	236
442	187	236
443	187	235
444	188	234
445	188	234
446	188	233
447	189	233
448	189	232
449	189	231
450	189	231
451	190	230
452	190	230
453	190	229
454	191	228
455	191	228
456	191	227
457	191	227
458	192	226
459	192	225
460	192	225
461	192	224
462	193	224
463	193	223
464	193	222
465	194	222
466	194	221
467	194	221
468	195	220
469	195	220
470	195	219
471	196	219
472	196	218
473	196	218
474	197	217
475	197	217
476	197	216
477	197	216
478	198	215
479	198	214
480	198	214
481	198	213
482	199	213
483	199	212
484	199	211
485	199	211
486	200	210
487	200	210
488	200	209
489	200	209
490	201	208
491	201	207
492	201	207
493	201	206
494	202	206
495	202	205
496	202	205
497	202	204
498	203	203
499	203	203
500	203	202
501	203	202
502	204	201
503	204	201
504	204	200
505	204	200
506	205	199
507	205	198
508	205	198
509	205	197
510	206	197
511	206	196
512	206	196
513	206	195
514	207	195
515	207	194
516	207	194
517	208	193
518	208	193
519	208	192
520	208	192
521	209	191
522	209	190
523	209	190
524	209	189
525	210	189
526	210	188
527	210	188
528	210	187
529	211	187
530	211	186
531	211	186
532	212	185
533	212	185
534	212	184
535	212	184
536	212	183
537	213	183
538	213	182
539	213	182
540	213	181
541	214	180
542	214	180
543	214	179
544	214	179
545	215	178
546	215	178
547	215	177
548	215	177
549	216	176
550	216	176
551	216	175
552	216	175
553	216	174
554	217	174
555	217	173
556	217	173
557	217	172
558	218	172
559	218	171
560	218	171
561	218	170
562	219	170
563	219	169
564	219	169
565	219	168
566	220	168
567	220	167
568	220	166
569	220	166
570	220	165
571	221	165
572	221	165
573	221	164
574	221	164
575	222	163
576	222	163
577	222	162
578	222	162
579	223	161
580	223	161
581	223	160
582	223	160
583	224	159
584	224	159
585	224	158
586	224	158
587	225	157
588	225	157
589	225	156
590	225	156
591	226	155
592	226	155
593	226	154
594	226	154
595	227	153
596	227	153
597	227	153
598	227	152
599	228	152
600	228	151
601	228	151
602	228	150
603	229	150
604	229	149
605	229	149
606	229	148
607	229	148
608	230	147
609	230	147
610	230	146
611	230	146
612	231	145
613	231	145
614	231	145
615	231	144
616	232	144
617	232	143
618	232	143
619	232	142
620	233	142
621	233	141
622	233	141
623	233	140
624	233	140
625	234	139
626	234	139
627	234	139
628	234	138
629	235	138
630	235	137
631	235	137
632	235	136
633	236	136
634	236	135
635	236	135
636	236	134
637	237	134
638	237	134
639	237	133
640	237	133
641	238	132
642	238	132
643	238	131
644	238	131
645	239	131
646	239	130
647	239	130
648	239	129
649	240	129
650	240	128
651	240	128
652	240	127
653	241	127
654	241	127
655	241	126
656	241	126
657	242	125
658	242	125
659	242	124
660	242	124
661	243	124
662	243	123
663	243	123
664	244	122
665	244	122
666	244	122
667	244	121
668	245	121
669	245	120
670	245	120
671	245	119
672	245	119
673	246	119
674	246	118
675	246	118
676	246	117
677	247	117
678	247	116
679	247	116
680	247	116
681	248	115
682	248	115
683	248	114
684	248	114
685	249	113
686	249	113
687	249	113
688	249	112
689	249	112
690	250	111
691	250	111
692	250	111
693	250	110
694	251	110
695	251	109
696	251	109
697	251	108
698	252	108
699	252	108
700	252	107
701	252	107
702	252	106
703	253	106
704	253	106
705	253	105
706	254	105
707	254	104
708	254	104
709	254	104
710	255	103
711	255	103
712	255	102
713	255	102
714	255	102
715	256	101
716	256	101
717	256	100
718	256	100
719	257	100
720	257	99
721	257	99
722	257	98
723	258	98
724	258	98
725	258	97
726	259	97
727	259	96
728	259	96
729	259	96
730	260	95
731	260	95
732	260	95
733	261	94
734	261	94
735	261	93
736	261	93
737	262	93
738	262	92
739	262	92
740	262	91
741	263	91
742	263	91
743	263	90
744	263	90
745	263	89
746	264	89
747	264	89
748	264	88
749	264	88
750	265	87
751	265	87
752	265	87
753	265	86
754	266	86
755	266	85
756	266	85
757	266	85
758	266	84
759	267	84
760	267	84
761	267	83
762	267	83
763	268	82
764	268	82
765	268	82
766	268	81
